"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","0:00.5","0:00.5","0","0","112","112","0","0","0","0","0:00.5","0"
"2","12:22","12:23","5.00","24.3","149","172","41","26","89","38.7","12:22","24.3"
"3","12:28","24:51","5.00","24.1","150","171","27","18","88","28.9","12:27","24.1"
"4","13:13","38:04","5.00","22.7","155","172","50","14","94","32.7","13:13","22.7"
"5","17:51","55:54","5.00","16.8","166","176","86","6","147","31.7","17:50","16.8"
"6","19:02","1:14:57","5.00","15.8","151","173","39","30","104","25.4","19:02","15.8"
"7","18:16","1:33:12","5.00","16.4","157","170","69","10","110","25.2","18:16","16.4"
"8","7:37.8","1:40:50","2.06","16.2","154","169","50","23","40","23.4","7:37","16.2"
"9","22:59","2:03:49","5.00","13.1","154","167","121","20","114","28.5","22:59","13.1"
"10","7:28.4","2:11:17","1.43","11.5","147","164","47","28","27","55.1","7:28.4","11.5"
"11","7:49.5","2:19:07","5.00","38.3","126","156","10","130","15","58.7","7:49","38.4"
"12","9:59.6","2:29:06","5.00","30.0","126","151","27","101","37","52.8","9:54","30.3"
"13","8:05.5","2:37:12","5.00","37.1","153","167","4","54","59","45.3","8:05.5","37.1"
"14","8:59.6","2:46:11","5.00","33.4","164","177","30","66","73","53.7","8:59.6","33.4"
"15","10:06","2:56:17","5.00","29.7","169","174","4","47","86","34.4","10:05","29.8"
"16","10:58","3:07:15","5.00","27.4","163","174","26","71","82","45.4","10:58","27.4"
"17","10:43","3:17:58","5.00","28.0","161","176","18","32","76","34.5","10:43","28.0"
"18","10:05","3:28:03","5.00","29.7","166","176","27","13","80","35.4","10:05","29.8"
"19","6:45.5","3:34:49","2.31","20.5","135","174","31","56","28","31.7","6:42","20.7"
"Resumen","3:34:49","3:34:49","80.80","22.6","154","177","706","746","1,349","58.7","3:34:35","22.6"
